author_id,full_name,birth_date,country
1,Veda Olyunin,12/29/1997,Russia
2,Amos Kupis,11/21/2000,China
3,Ham Luckcock,12/9/1967,Indonesia
4,Borg Brixey,7/4/1980,Indonesia
5,Valli Soldner,4/21/1994,Peru
6,Tamera Motion,7/21/1966,Armenia
7,Elmira Edgworth,7/13/1992,Colombia
8,Inger Jepp,6/4/1985,Indonesia
9,Abby Sewell,12/14/2005,Portugal
10,Bibbye Moverley,11/28/1998,Kazakhstan
11,Gretel Freemantle,6/22/1980,Australia
12,Ermentrude Blankhorn,8/26/2010,Myanmar
13,Shaughn Blinco,4/16/2008,Indonesia
14,Tynan Yushin,12/15/1975,Indonesia
15,Bobette Stithe,9/28/2018,Estonia
16,Madeline Durward,12/1/1980,Poland
17,Colman Libermore,7/8/2006,Mauritania
18,Jordon Warboys,6/14/1963,Egypt
19,Antoinette Trees,6/18/1971,United Kingdom
20,Ester Fendley,7/23/1994,Tunisia
21,Dario Rummins,4/3/2018,Ukraine
22,Terrell Spellar,10/12/1995,United Kingdom
23,Delmor Santo,1/21/2001,France
24,Aura Meatcher,7/13/2009,Russia
25,Essie Ortelt,12/22/1995,Portugal
26,Alexandro Lubman,12/2/1979,France
27,Arley Giacomuzzo,1/4/1968,France
28,Nelia Whetland,7/29/1993,Brazil
29,Katina Duthie,3/30/1985,Portugal
30,Kelsey Bradick,2/13/2014,South Africa
31,Karel Duffer,5/16/1964,Russia
32,Valerie Sapp,3/30/1966,Indonesia
33,Lois De La Hay,4/13/1992,Belarus
34,Alleyn Norval,9/1/1993,France
35,Anthia Sennett,7/13/1990,South Africa
36,Haslett Tudball,11/5/1981,Canada
37,Jennifer Chave,2/1/2001,Portugal
38,Siana St. Queintain,7/6/1992,Indonesia
39,Desmond Akess,11/17/2009,Finland
40,Tania Freyne,1/7/1961,China
41,Sterling Cumbes,3/26/1970,Russia
42,Lilli Lewsam,4/3/2008,China
43,Rowney Talboy,9/12/1979,Poland
44,Pieter Clayhill,3/29/1992,Brazil
45,Frederigo Durrance,2/28/1985,Philippines
46,Olvan Consadine,4/8/2000,France
47,Averell Ollis,9/8/2002,Finland
48,Isidoro Lafuente,12/27/1983,Panama
49,Zea Shirt,12/29/1997,China
50,Craggy Alliband,10/10/1983,Bosnia and Herzegovina
